relation_id,cert_id,major_id,is_active
cmj_00001,cert_0911,major_qnet_2221,True
cmj_00002,cert_0912,major_qnet_2221,True
cmj_00003,cert_1061,major_qnet_2221,True
cmj_00004,cert_0901,major_qnet_3050,True
cmj_00005,cert_0901,major_qnet_5373,True
cmj_00006,cert_0901,major_qnet_4289,True
cmj_00007,cert_0706,major_qnet_3050,True
cmj_00008,cert_0706,major_qnet_5373,True
cmj_00009,cert_0706,major_qnet_4289,True
cmj_00010,cert_0900,major_qnet_3050,True
cmj_00011,cert_0900,major_qnet_5373,True
cmj_00012,cert_0900,major_qnet_4289,True
cmj_00013,cert_0907,major_qnet_3050,True
cmj_00014,cert_0907,major_qnet_5373,True
cmj_00015,cert_0907,major_qnet_4289,True
cmj_00016,cert_0698,major_qnet_3050,True
cmj_00017,cert_0698,major_qnet_5373,True
cmj_00018,cert_0698,major_qnet_4289,True
cmj_00019,cert_0699,major_qnet_3050,True
cmj_00020,cert_0699,major_qnet_5373,True
cmj_00021,cert_0699,major_qnet_4289,True
cmj_00022,cert_0923,major_qnet_3050,True
cmj_00023,cert_0923,major_qnet_5373,True
cmj_00024,cert_0923,major_qnet_4289,True
cmj_00025,cert_1109,major_qnet_3050,True
cmj_00026,cert_1109,major_qnet_5373,True
cmj_00027,cert_1109,major_qnet_4289,True
cmj_00028,cert_1110,major_qnet_3050,True
cmj_00029,cert_1110,major_qnet_5373,True
cmj_00030,cert_1110,major_qnet_4289,True
cmj_00031,cert_1129,major_qnet_3050,True
cmj_00032,cert_1129,major_qnet_5373,True
cmj_00033,cert_1129,major_qnet_4289,True
cmj_00034,cert_0063,major_qnet_2221,True
cmj_00035,cert_0064,major_qnet_2221,True
cmj_00036,cert_0156,major_qnet_2221,True
cmj_00037,cert_0292,major_qnet_2221,True
cmj_00038,cert_1208,major_qnet_2221,True
cmj_00039,cert_1200,major_qnet_2221,True
cmj_00040,cert_0835,major_qnet_2221,True
cmj_00041,cert_0770,major_qnet_2221,True
cmj_00042,cert_0771,major_qnet_2221,True
cmj_00043,cert_0772,major_qnet_2221,True
cmj_00044,cert_0733,major_qnet_4289,True
cmj_00045,cert_1033,major_qnet_4289,True
cmj_00046,cert_1027,major_qnet_4289,True
cmj_00047,cert_1034,major_qnet_4289,True
cmj_00048,cert_1003,major_qnet_4289,True
cmj_00049,cert_1013,major_qnet_4289,True
cmj_00050,cert_1014,major_qnet_4289,True
cmj_00051,cert_1132,major_qnet_4289,True
cmj_00052,cert_1139,major_qnet_4289,True
cmj_00053,cert_1020,major_qnet_4289,True
